month,prev_mrr,end_mrr,new_mrr,expansion_mrr,contraction_mrr,churn_mrr,net_change
2026-02,14535.516737628153,16432.901359314492,2088.8887966517104,3280.626142834816,3167.449776709212,304.6805410909747,1897.3846216863385
2026-03,16432.901359314492,19047.686070587326,2237.542187439969,4213.348380158711,3446.2384995935463,389.8673567323,2614.784711272834
2026-04,19047.686070587326,19260.117558747996,1876.0904044021606,3844.8447015106485,4973.490852060342,535.012765691797,212.4314881606697
2026-05,19260.117558747996,22772.53848395894,2425.252762832514,5447.215584003938,3982.2281231060742,377.8192985194349,3512.420925210943
2026-06,22772.53848395894,23477.38314300529,2197.253502009754,4511.316741384664,5549.298256068951,454.4273282791145,704.84465904635
2026-07,23477.38314300529,25452.539366767287,2143.4970549872264,5581.769160778788,5386.907402411136,363.2025895928828,1975.1562237619983
2026-08,25452.539366767287,25587.398290867146,2016.576147312013,5038.307972975379,6594.925745789669,325.0994503978624,134.858924099859
2026-09,25587.398290867146,26767.90858674549,1810.8913703010596,5914.0520820729425,6165.636769639357,378.7963868563055,1180.5102958783427
2026-10,26767.90858674549,29360.515041847146,2004.5547811776373,7019.447685158937,5909.416085239998,521.9799259949191,2592.606455101657
2026-11,29360.515041847146,29448.11247268099,1927.6020678763853,6190.131585853441,7599.642663344721,430.49355955126,87.59743083384456
2026-12,29448.11247268099,32637.53577397021,2174.1664629065435,7683.353517102301,6170.679426045695,497.4172526739308,3189.423301289218
2027-01,32637.53577397021,33809.65487270523,1933.3949611617566,7598.202641967775,7917.796027989811,441.6824764046994,1172.11909873502
2027-02,33809.65487270523,35488.811072948054,2329.6698602620404,7623.0825060488405,7592.33770028455,681.2584657835084,1679.1562002428254
2027-03,35488.811072948054,36279.52492666482,2081.544927001231,8048.659639792625,8515.135421012747,824.3552920643436,790.713853716763
2027-04,36279.52492666482,37615.07515207805,2088.6576159112606,9204.768577566114,9202.897523924847,754.9784441393028,1335.5502254132298
2027-05,37615.07515207805,39844.678670480615,2329.137678964038,9566.030219969038,9075.369822284005,590.1945582464978,2229.6035184025677
2027-06,39844.678670480615,40593.08444644362,2102.34551045739,8651.761448142119,9268.400999558853,737.3001830776465,748.4057759630086
2027-07,40593.08444644362,42432.784831334415,1904.9686478722188,9800.917953401022,9271.133347479881,595.0528689025748,1839.7003848907916
2027-08,42432.784831334415,43620.65961732116,2561.885540557508,9891.027447245699,10517.954355615588,747.0838462008722,1187.8747859867435
2027-09,43620.65961732116,44125.03686563721,1911.9666745613779,10494.491398347196,11115.818489459565,786.2623351329586,504.3772483160501
2027-10,44125.03686563721,46363.62154259596,1923.9660944947373,11389.37580653396,10245.50026995496,829.2569541149862,2238.5846769587515
2027-11,46363.62154259596,47719.3980017269,2157.3974385458896,11078.356295825033,11022.542376633886,857.4348986060974,1355.7764591309387
2027-12,47719.3980017269,47274.310607334846,1860.7316467252017,11067.346352554727,12525.6685227411,847.496870930879,-445.0873943920524
2028-01,47274.310607334846,49085.8374961283,1965.8584230527513,11912.814886945915,11290.130981262939,777.0154399422796,1811.5268887934508
2028-02,49085.8374961283,50357.28526685716,2224.4861710860814,12091.54824967822,12042.341150524067,1002.2454995113734,1271.4477707288606
2028-03,50357.28526685716,51882.90544385304,2192.0786221619674,12071.432773532923,11906.65805468454,831.2331640144664,1525.6201769958789
2028-04,51882.90544385304,51672.34608557774,1954.2519572877306,11347.249823913047,12728.979468164076,783.0816713120037,-210.55935827529902
2028-05,51672.34608557774,54313.07721734806,2146.7599179135514,12828.413585672952,11423.43278910329,911.0095827128936,2640.7311317703206
2028-06,54313.07721734806,56087.57059434401,2247.4912521242477,12880.139309357692,12413.955002976505,939.1821815094811,1774.4933769959534
2028-07,56087.57059434401,56585.91087807448,2127.848116027571,12975.133348591931,13541.954461472917,1062.6867194161132,498.3402837304675
2028-08,56585.91087807448,56875.62299226119,2085.1435302113528,13230.833107879562,14010.857791936645,1015.406731967563,289.7121141867101
2028-09,56875.62299226119,57974.87723604862,2150.4241219701416,13860.486721937363,13826.440178804209,1085.2164213158649,1099.254243787429
2028-10,57974.87723604862,59603.63627212745,1831.034466152687,14389.459934430997,13644.05220155495,947.6831629499081,1628.7590360788308
2028-11,59603.63627212745,59998.69519085129,2082.8397891894547,13400.0928888085,14258.671059999773,829.202699274334,395.0589187238438
2028-12,59998.69519085129,62322.417332578814,1735.5673085017256,15119.007961055911,13529.743018378547,1001.1101094515661,2323.7221417275214
