month,prev_mrr,end_mrr,new_mrr,expansion_mrr,contraction_mrr,churn_mrr,net_change
2026-02,39911.778389686035,43036.873575687074,5773.666634514036,14037.789122048565,15174.991696153173,1511.368874408392,3125.095186001039
2026-03,43036.873575687074,49478.14930416501,5645.012960629762,17399.990966087735,15517.269118670645,1086.459079568908,6441.275728477936
2026-04,49478.14930416501,53556.85465430487,6053.737585254601,17482.714332370935,17568.372903382835,1889.3736641028418,4078.7053501398623
2026-05,53556.85465430487,61668.60625243019,5009.806879503515,24723.99371807079,20451.360056477126,1170.6889429718638,8111.751598125316
2026-06,61668.60625243019,63546.805412457266,5451.458764841188,22028.933623731617,23438.505360735304,2163.687867810425,1878.1991600270776
2026-07,63546.805412457266,62386.59384472368,4469.336803208565,22177.200836939886,26047.687128354635,1759.0620795274035,-1160.2115677335896
2026-08,62386.59384472368,67068.36873688691,4300.602079726656,24605.735718884625,23197.099595862186,1027.463310585853,4681.774892163237
2026-09,67068.36873688691,78641.01226706056,6037.8573779485505,29161.271566695475,22330.667515858913,1295.817898611471,11572.64353017365
2026-10,78641.01226706056,82693.54393510663,6518.395255949079,30704.818182568604,31891.396354688084,1279.2854157835293,4052.5316680460674
2026-11,82693.54393510663,84384.03663289081,5391.827180184019,29679.761952703127,32242.026828112677,1139.0696069902829,1690.4926977841824
2026-12,84384.03663289081,86155.54919917413,4712.051952468301,31837.948065365606,33257.63827107375,1520.8491804768346,1771.5125662833161
2027-01,86155.54919917413,87301.88993779672,5612.675141693883,29367.632049138614,32372.08653265553,1461.879919554405,1146.340738622588
2027-02,87301.88993779672,99173.55169680924,5105.859792488809,37455.70267265522,29178.776932526853,1511.1237736046387,11871.661759012524
2027-03,99173.55169680924,96015.72185739949,6312.974918380805,33381.63059630893,41315.34600232409,1537.0893517754075,-3157.829839409751
2027-04,96015.72185739949,102982.66021440919,6899.527242361882,37829.53792553558,36270.82110565374,1491.3057052340198,6966.938357009698
2027-05,102982.66021440919,104602.44724060054,5314.733336450792,37441.613452946716,38765.30755790823,2371.25220529791,1619.7870261913486
2027-06,104602.44724060054,112228.55470265922,4713.425408881339,45541.53007745958,41320.272378263195,1308.57564601904,7626.107462058688
2027-07,112228.55470265922,108093.99880445356,4824.23914849633,38176.1656193924,45567.07365807727,1567.8870080171323,-4134.555898205668
2027-08,108093.99880445356,117504.81437222006,4609.224845515556,45908.38415310382,39344.11138019337,1762.682050659495,9410.815567766505
2027-09,117504.81437222006,114783.96320853673,5856.800356930203,41276.18854896094,47321.526410492595,2532.3136590818744,-2720.851163683328
2027-10,114783.96320853673,125057.39620136222,4495.205420562599,47681.79921659769,39252.521221979274,2651.050422355528,10273.432992825488
2027-11,125057.39620136222,130053.97860733996,4932.697167396096,49873.05499900887,46947.728845173806,2861.440915253408,4996.582405977737
2027-12,130053.97860733996,143828.80795641185,6758.435328336792,57797.14824433628,48978.441967342864,1802.3122562583403,13774.829349071893
2028-01,143828.80795641185,131129.91632094758,5521.434533243997,43382.29980329807,60213.55739898812,1389.0685730182363,-12698.891635464272
2028-02,131129.91632094758,141330.6248382563,5811.578610671486,55232.05356910155,48564.18577519353,2278.7378872707645,10200.708517308725
2028-03,141330.6248382563,142766.82366009982,4660.451064086697,53183.802050072125,54053.842543368526,2354.2117489467864,1436.1988218435145
2028-04,142766.82366009982,140688.85172528855,5555.670375031141,50366.14963266028,55771.75187762927,2228.0400648734094,-2077.9719348112703
2028-05,140688.85172528855,148365.99271054656,5137.14792445755,58179.24397281307,53293.94787264279,2345.3030393698227,7677.140985258011
2028-06,148365.99271054656,153311.35397983593,5022.912176872563,58528.783470742244,56172.1443417696,2434.190036555848,4945.361269289366
2028-07,153311.35397983593,150852.0250615706,6199.293537356982,55631.53610617337,60769.49819716347,3520.6603646321946,-2459.3289182653243
2028-08,150852.0250615706,159338.88435603585,5781.760524612348,63355.24267252219,57896.61982522033,2753.5240774489757,8486.859294465248
2028-09,159338.88435603585,164239.8371938141,5700.030673971363,65425.28242362992,63402.158149688665,2822.202110134376,4900.952837778255
2028-10,164239.8371938141,168521.7406256519,6268.03757112133,65116.45506773285,64701.563244310484,2401.0259627058895,4281.903431837796
2028-11,168521.7406256519,170474.87090055452,5572.402651150843,69594.36445059457,70940.09497732227,2273.541849520531,1953.1302749026217
2028-12,170474.87090055452,167833.06616066385,4870.52186857675,61045.98998131033,65644.79129486167,2913.5252949160626,-2641.8047398906783
