month,prev_gm,gross_margin_pct,delta_gm
2026-02,-1163.2084810720858,-1064.9857458356814,98.22273523640433
2026-03,-1064.9857458356814,-950.5421733851049,114.44357245057654
2026-04,-950.5421733851049,-955.5422405630209,-5.00006717791598
2026-05,-955.5422405630209,-832.596247325496,122.94599323752482
2026-06,-832.596247325496,-820.9510601815828,11.64518714391329
2026-07,-820.9510601815828,-771.1420991252612,49.80896105632155
2026-08,-771.1420991252612,-781.7779273456691,-10.635828220407916
2026-09,-781.7779273456691,-763.8427484614199,17.93517888424924
2026-10,-763.8427484614199,-707.6249831000401,56.21776536137975
2026-11,-707.6249831000401,-715.2957057298967,-7.670722629856527
2026-12,-715.2957057298967,-653.7569913192391,61.538714410657576
2027-01,-653.7569913192391,-641.5042389789356,12.25275234030346
2027-02,-641.5042389789356,-619.5731165085343,21.931122470401306
2027-03,-619.5731165085343,-614.3737386514975,5.1993778570367795
2027-04,-614.3737386514975,-600.2686607933682,14.105077858129334
2027-05,-600.2686607933682,-572.0953584419145,28.173302351453685
2027-06,-572.0953584419145,-568.1656087456867,3.929749696227873
2027-07,-568.1656087456867,-550.9828878732163,17.182720872470327
2027-08,-550.9828878732163,-542.1442821997664,8.838605673449933
2027-09,-542.1442821997664,-542.0307268225615,0.11355537720487519
2027-10,-542.0307268225615,-520.0922963073772,21.938430515184336
2027-11,-520.0922963073772,-510.0822409538183,10.010055353558869
2027-12,-510.0822409538183,-524.5803769526531,-14.498135998834755
2028-01,-524.5803769526531,-508.11296293611406,16.46741401653901
2028-02,-508.11296293611406,-500.27170005830646,7.841262877807594
2028-03,-500.27170005830646,-489.3200793925271,10.951620665779387
2028-04,-489.3200793925271,-498.0672951885795,-8.747215796052444
2028-05,-498.0672951885795,-476.41656493720063,21.65073025137889
2028-06,-476.41656493720063,-464.7426348622621,11.67393007493854
2028-07,-464.7426348622621,-465.0699271909245,-0.327292328662395
2028-08,-465.0699271909245,-467.7702787560416,-2.700351565117103
2028-09,-467.7702787560416,-462.8016311665288,4.968647589512784
2028-10,-462.8016311665288,-453.44023777093344,9.361393395595371
2028-11,-453.44023777093344,-458.11281242821195,-4.672574657278517
2028-12,-458.11281242821195,-442.96405141115906,15.148761017052891
